Galaxy	Distance	Mbh	Mbh lower	Mbh upper	Morphology	Source
NGC 2974	20.9	1.7	1.5	1.9	Sp (bar)	S16
NGC 3079	20.7	0.024	0.012	0.048	Sp (bar)	S16
NGC 3091	51.2	36	34	37	E	S16
NGC 3115	9.4	8.8	6.1	18.8	E/S0	S16
NGC 3227	20.3	0.14	0.08	0.24	Sp (bar)	S16
NGC 3245	20.3	2	1.5	2.5	S0 (bar)	S16
NGC 3377	10.9	0.77	0.71	0.81	E	S16
NGC 3384	11.3	0.17	0.15	0.18	S0 (bar)	S16
NGC 3393	55.2	0.34	0.32	0.36	Sp (bar)	S16
NGC 3414	24.5	2.4	2.1	2.7	E	S16
NGC 3489	11.7	0.058	0.05	0.066	S0/Sp (bar)	S16
NGC 3585	19.5	3.1	2.5	4.5	E	S16
NGC 3607	22.2	1.3	0.8	1.8	E	S16
NGC 3608	22.3	2	1.4	3.1	E	S16
NGC 3842	98.4	97	71	127	E	S16
NGC 3998	13.7	8.1	6.2	10.1	S0 (bar)	S16
NGC 4026	13.2	1.8	1.5	2.4	S0 (bar)	S16
NGC 4151	20	0.65	0.58	0.72	Sp (bar)	S16
NGC 4261	30.8	5	4	6	E	S16
NGC 4291	25.5	3.3	0.8	4.2	E	S16
NGC 4388	17	0.075	0.073	0.077	Sp (bar)	S16
NGC 4459	15.7	0.68	0.55	0.81	S0	S16
NGC 4473	15.3	1.2	0.3	1.6	E	S16
NGC 4564	14.6	0.6	0.51	0.63	S0	S16
NGC 4596	17	0.79	0.46	1.17	S0 (bar)	S16
NGC 4697	11.4	1.8	1.7	2	E	S16
NGC 4889	103.2	210	50	370	E	S16
NGC 4945	3.8	0.014	0.007	0.028	Sp (bar)	S16
NGC 5077	41.2	7.4	4.4	12.1	E	S16
NGC 5128	3.8	0.45	0.35	0.62	merger	S16
NGC 5576	24.8	1.6	1.2	1.9	E	S16
NGC 5845	25.2	2.6	1.1	3	S0	S16
NGC 5846	24.2	11	10	12	E	S16
NGC 6251	104.6	5	3	7	E	S16
NGC 7052	66.4	3.7	2.2	6.3	E	S16
NGC 7619	51.5	25	22	33	E	S16
NGC 7768	112.8	13	9	18	E	S16
UGC 03789	48.4	0.108	0.103	0.113	Sp (bar)	S16
